date,city,campaign,impressions,clicks,traffic,spend
2025-01-09,Delhi,BrandAwareness,4535,252,181,30.76
2025-01-15,Mumbai,CoffeePush,5345,483,121,59.5
2025-01-24,Hyderabad,HolidaySale,5635,405,493,26.87
2025-01-25,Chennai,CoffeePush,926,73,491,26.32
2025-01-26,Hyderabad,HolidaySale,3834,378,34,46.21
2025-01-17,Delhi,BrandAwareness,1423,210,329,65.22
2025-01-06,Chennai,HolidaySale,2770,230,225,24.79
2025-01-12,Chennai,BrandAwareness,2514,308,278,55.72
2025-01-27,Bangalore,BrandAwareness,5241,494,303,48.45
2025-01-28,Chennai,HolidaySale,5947,483,466,52.75
2025-01-18,Bangalore,CoffeePush,3119,381,428,9.04
2025-01-15,Delhi,HolidaySale,3698,404,160,63.89
2025-01-06,Chennai,CoffeePush,613,21,409,63.56
2025-01-16,Hyderabad,CoffeePush,4302,639,21,24.88
2025-01-06,Bangalore,BrandAwareness,4760,227,167,5.0
2025-01-18,Bangalore,CoffeePush,4894,56,352,15.73
2025-01-21,Chennai,BrandAwareness,4504,572,162,13.58
2025-01-28,Hyderabad,BrandAwareness,2070,156,146,37.58
2025-01-19,Bangalore,CoffeePush,3640,512,159,76.78
2025-01-21,Bangalore,BrandAwareness,5497,250,424,17.74
2025-01-07,Bangalore,CoffeePush,511,44,358,38.49
2025-01-17,Bangalore,HolidaySale,1770,66,377,71.95
2025-01-14,Mumbai,BrandAwareness,3177,285,349,52.58
2025-01-24,Delhi,CoffeePush,3284,326,183,23.75
2025-01-24,Chennai,BrandAwareness,5282,751,288,54.93
2025-01-02,Bangalore,HolidaySale,2130,84,441,39.72
2025-01-27,Mumbai,CoffeePush,3016,341,365,6.32
2025-01-09,Hyderabad,CoffeePush,790,49,397,74.76
2025-01-24,Mumbai,BrandAwareness,1545,124,439,41.68
2025-01-03,Mumbai,BrandAwareness,1279,90,465,35.47
2025-01-25,Chennai,CoffeePush,1778,20,333,55.43
2025-01-22,Hyderabad,HolidaySale,1028,137,387,16.87
2025-01-14,Chennai,BrandAwareness,1618,39,48,8.91
2025-01-12,Chennai,CoffeePush,3853,180,237,67.97
2025-01-23,Hyderabad,HolidaySale,4998,154,21,19.12
2025-01-23,Hyderabad,CoffeePush,5227,357,71,40.91
2025-01-12,Bangalore,BrandAwareness,5406,290,415,40.05
2025-01-24,Delhi,CoffeePush,4507,389,198,29.61
2025-01-28,Mumbai,CoffeePush,2723,360,197,6.39
2025-01-11,Hyderabad,BrandAwareness,3701,132,128,79.33
2025-01-15,Mumbai,BrandAwareness,5853,43,158,27.35
2025-01-28,Chennai,BrandAwareness,3669,216,57,33.77
2025-01-17,Delhi,BrandAwareness,2089,49,39,71.93
2025-01-22,Bangalore,HolidaySale,820,106,200,11.8
2025-01-02,Hyderabad,BrandAwareness,1404,184,136,75.16
2025-01-07,Mumbai,CoffeePush,5572,667,181,69.31
2025-01-05,Delhi,CoffeePush,2900,266,371,61.29
2025-01-25,Mumbai,CoffeePush,808,23,140,52.82
2025-01-14,Chennai,BrandAwareness,1863,23,179,73.0
2025-01-03,Mumbai,CoffeePush,3448,510,465,71.14
2025-01-19,Chennai,CoffeePush,1553,221,481,11.55
2025-01-28,Delhi,CoffeePush,1308,26,70,39.22
2025-01-27,Chennai,BrandAwareness,3125,135,283,26.53
2025-01-06,Hyderabad,BrandAwareness,1214,79,50,33.66
2025-01-22,Delhi,CoffeePush,3509,382,371,61.05
2025-01-14,Bangalore,CoffeePush,2411,345,490,71.59
2025-01-16,Chennai,BrandAwareness,1920,149,382,72.38
2025-01-22,Bangalore,HolidaySale,1005,99,488,69.01
2025-01-21,Bangalore,HolidaySale,2074,99,260,76.59
2025-01-18,Hyderabad,HolidaySale,3243,399,277,49.3
2025-01-28,Mumbai,BrandAwareness,1293,160,258,35.27
2025-01-13,Chennai,HolidaySale,1649,83,95,10.24
2025-01-17,Chennai,CoffeePush,4393,193,257,74.66
2025-01-25,Mumbai,CoffeePush,1359,24,38,6.68
2025-01-12,Mumbai,CoffeePush,1934,259,125,73.63
2025-01-17,Mumbai,HolidaySale,4041,98,397,71.69
2025-01-01,Hyderabad,BrandAwareness,5125,567,138,67.5
2025-01-07,Bangalore,HolidaySale,2871,148,99,26.47
2025-01-17,Delhi,HolidaySale,5525,511,333,77.93
2025-01-10,Delhi,BrandAwareness,1332,173,276,74.21
2025-01-06,Chennai,CoffeePush,3793,67,28,79.32
2025-01-25,Bangalore,HolidaySale,1564,224,124,29.0
2025-01-08,Bangalore,CoffeePush,1816,129,483,19.9
2025-01-08,Chennai,BrandAwareness,4495,655,66,46.81
2025-01-12,Delhi,BrandAwareness,5514,417,289,33.07
2025-01-18,Mumbai,HolidaySale,1346,114,437,66.2
2025-01-15,Bangalore,CoffeePush,5273,755,425,17.68
2025-01-24,Bangalore,HolidaySale,3498,360,271,47.07
2025-01-13,Chennai,BrandAwareness,2935,67,271,67.22
2025-01-24,Bangalore,CoffeePush,5976,462,476,5.16
2025-01-24,Hyderabad,BrandAwareness,1734,53,21,77.56
2025-01-04,Bangalore,CoffeePush,4491,363,245,26.72
2025-01-26,Hyderabad,HolidaySale,3657,443,99,76.57
2025-01-05,Delhi,CoffeePush,2370,202,39,69.97
2025-01-07,Chennai,HolidaySale,2881,237,247,29.44
2025-01-21,Delhi,CoffeePush,3226,344,207,62.2
2025-01-24,Hyderabad,CoffeePush,1210,153,317,75.51
2025-01-07,Mumbai,BrandAwareness,4749,92,73,44.56
2025-01-02,Delhi,BrandAwareness,4537,652,408,72.61
2025-01-01,Bangalore,BrandAwareness,2223,149,362,71.68
2025-01-14,Delhi,CoffeePush,1710,175,42,43.38
2025-01-23,Mumbai,BrandAwareness,3210,87,133,72.17
2025-01-13,Delhi,BrandAwareness,1243,59,70,5.35
2025-01-09,Chennai,BrandAwareness,1046,136,308,44.71
2025-01-30,Mumbai,BrandAwareness,2871,95,450,60.5
2025-01-05,Chennai,CoffeePush,3305,411,487,52.99
2025-01-09,Bangalore,BrandAwareness,1149,156,264,20.07
2025-01-03,Chennai,CoffeePush,2547,303,121,79.95
2025-01-16,Bangalore,CoffeePush,1482,113,207,69.49
2025-01-03,Delhi,HolidaySale,4040,375,287,53.46
2025-01-15,Hyderabad,BrandAwareness,4226,442,320,18.76
2025-01-24,Chennai,HolidaySale,3975,530,272,10.23
2025-01-25,Bangalore,HolidaySale,1181,72,66,15.61
2025-01-15,Bangalore,BrandAwareness,5582,592,83,38.1
2025-01-24,Hyderabad,HolidaySale,2736,86,466,41.52
2025-01-17,Mumbai,BrandAwareness,5877,306,445,29.1
2025-01-01,Delhi,CoffeePush,1970,77,209,46.06
2025-01-04,Chennai,BrandAwareness,1541,52,447,59.86
2025-01-10,Hyderabad,BrandAwareness,5992,375,460,56.25
2025-01-04,Chennai,HolidaySale,3169,299,428,32.72
2025-01-05,Hyderabad,HolidaySale,871,46,292,49.52
2025-01-07,Mumbai,BrandAwareness,3094,182,70,77.37
2025-01-20,Mumbai,HolidaySale,4350,417,185,29.41
2025-01-15,Mumbai,CoffeePush,2788,35,401,72.23
2025-01-11,Chennai,CoffeePush,5910,218,418,68.43
2025-01-14,Chennai,CoffeePush,4684,573,101,37.13
2025-01-22,Mumbai,BrandAwareness,5791,579,377,15.22
2025-01-29,Mumbai,CoffeePush,3988,171,100,62.61
2025-01-14,Chennai,BrandAwareness,955,27,101,9.25
2025-01-18,Bangalore,CoffeePush,1403,133,377,49.82
2025-01-28,Chennai,HolidaySale,5223,159,412,10.21
2025-01-27,Bangalore,CoffeePush,4302,377,30,11.01
2025-01-17,Bangalore,HolidaySale,2283,274,107,78.03
2025-01-18,Chennai,HolidaySale,1505,25,241,31.71
2025-01-05,Mumbai,BrandAwareness,5001,276,120,13.34
2025-01-05,Hyderabad,BrandAwareness,5939,430,318,61.35
2025-01-07,Hyderabad,CoffeePush,4062,212,45,21.94
2025-01-11,Hyderabad,HolidaySale,1496,22,240,66.03
2025-01-23,Chennai,BrandAwareness,1623,223,49,17.05
2025-01-03,Bangalore,CoffeePush,1722,79,313,44.73
2025-01-09,Delhi,CoffeePush,4373,223,194,14.79
2025-01-15,Chennai,BrandAwareness,1321,44,148,7.16
2025-01-04,Hyderabad,CoffeePush,917,77,33,5.61
2025-01-17,Chennai,CoffeePush,4736,201,25,64.07
2025-01-13,Mumbai,HolidaySale,2823,144,390,64.44
2025-01-07,Bangalore,BrandAwareness,1078,137,419,18.93
2025-01-12,Mumbai,BrandAwareness,1922,250,280,46.98
2025-01-09,Hyderabad,CoffeePush,2946,48,439,63.68
2025-01-11,Chennai,CoffeePush,2963,171,333,40.34
2025-01-07,Hyderabad,HolidaySale,1612,138,159,36.77
2025-01-09,Bangalore,CoffeePush,1444,100,247,18.39
2025-01-10,Chennai,BrandAwareness,3555,492,394,39.32
2025-01-29,Bangalore,BrandAwareness,671,73,466,73.71
2025-01-13,Delhi,BrandAwareness,5056,643,300,35.51
2025-01-15,Bangalore,HolidaySale,2403,298,261,51.95
2025-01-19,Hyderabad,CoffeePush,4389,402,139,65.5
2025-01-04,Hyderabad,BrandAwareness,2741,261,367,5.54
2025-01-15,Mumbai,CoffeePush,5360,88,389,28.14
2025-01-18,Hyderabad,CoffeePush,2754,168,83,31.01
2025-01-01,Chennai,BrandAwareness,5816,720,471,29.3
2025-01-04,Hyderabad,CoffeePush,3925,473,97,55.52
2025-01-09,Bangalore,BrandAwareness,1206,74,152,40.41
2025-01-26,Chennai,BrandAwareness,5036,455,475,25.26
2025-01-14,Bangalore,CoffeePush,1199,98,264,54.57
2025-01-20,Bangalore,CoffeePush,2623,27,244,23.34
2025-01-29,Chennai,CoffeePush,3579,400,358,77.66
2025-01-24,Bangalore,HolidaySale,1136,51,232,49.01
2025-01-05,Mumbai,HolidaySale,1873,212,313,19.43
2025-01-06,Chennai,CoffeePush,2343,325,387,47.24
2025-01-01,Bangalore,BrandAwareness,2450,83,235,59.53
2025-01-24,Chennai,HolidaySale,4210,47,116,8.68
2025-01-16,Hyderabad,HolidaySale,3773,109,175,21.49
2025-01-13,Chennai,BrandAwareness,2905,167,428,35.16
2025-01-27,Delhi,BrandAwareness,661,27,383,63.18
2025-01-17,Chennai,HolidaySale,4448,656,314,70.62
2025-01-10,Bangalore,HolidaySale,4163,328,116,78.24
2025-01-13,Chennai,BrandAwareness,2345,296,388,48.14
2025-01-25,Chennai,BrandAwareness,2985,217,97,38.17
2025-01-19,Hyderabad,HolidaySale,927,117,496,69.42
2025-01-17,Chennai,BrandAwareness,5028,445,244,42.67
2025-01-13,Bangalore,HolidaySale,2071,250,22,64.67
2025-01-02,Bangalore,HolidaySale,1044,118,153,16.34
2025-01-26,Delhi,HolidaySale,5641,537,297,10.56
2025-01-08,Hyderabad,CoffeePush,5815,859,71,35.21
2025-01-22,Delhi,HolidaySale,1893,51,43,31.61
2025-01-30,Bangalore,BrandAwareness,3384,264,172,27.56
2025-01-25,Delhi,BrandAwareness,810,66,35,12.28
2025-01-19,Bangalore,BrandAwareness,3480,291,47,71.53
2025-01-15,Hyderabad,CoffeePush,4756,679,341,62.85
2025-01-04,Chennai,BrandAwareness,4243,179,420,38.16
2025-01-28,Bangalore,HolidaySale,3924,217,328,78.23
2025-01-04,Mumbai,BrandAwareness,5139,513,427,45.17
2025-01-22,Hyderabad,HolidaySale,1135,166,181,19.34
2025-01-10,Chennai,HolidaySale,1183,177,348,42.99
2025-01-24,Delhi,HolidaySale,1801,255,35,47.84
2025-01-19,Hyderabad,BrandAwareness,5010,132,128,76.89
2025-01-21,Hyderabad,BrandAwareness,1216,173,81,62.4
2025-01-23,Delhi,BrandAwareness,2430,174,21,26.35
2025-01-24,Mumbai,CoffeePush,5625,562,266,53.28
2025-01-13,Hyderabad,HolidaySale,2831,252,266,14.65
2025-01-27,Chennai,CoffeePush,5201,360,431,74.78
2025-01-16,Delhi,HolidaySale,2018,30,24,53.13
2025-01-21,Mumbai,BrandAwareness,2439,101,190,42.45
2025-01-26,Delhi,CoffeePush,2490,225,479,53.81
2025-01-19,Delhi,HolidaySale,5936,655,286,44.01
2025-01-03,Hyderabad,HolidaySale,4658,515,459,19.46
2025-01-27,Chennai,HolidaySale,1872,80,139,65.09
2025-01-28,Bangalore,CoffeePush,2433,227,489,50.55
2025-01-12,Hyderabad,HolidaySale,5530,355,73,53.52
2025-01-18,Chennai,BrandAwareness,2837,10,450,12.97
2025-01-07,Hyderabad,HolidaySale,2508,346,376,26.09
2025-01-08,Hyderabad,HolidaySale,4946,713,24,52.93
2025-01-29,Delhi,HolidaySale,2389,215,439,23.01
2025-01-11,Mumbai,HolidaySale,2223,299,40,68.22
2025-01-12,Hyderabad,BrandAwareness,3133,366,37,35.53
2025-01-16,Mumbai,BrandAwareness,2340,10,447,15.2
2025-01-03,Delhi,CoffeePush,1396,130,191,48.78
2025-01-12,Delhi,BrandAwareness,1463,194,195,46.13
2025-01-21,Mumbai,BrandAwareness,3368,365,224,64.18
2025-01-02,Bangalore,CoffeePush,2765,345,440,20.31
2025-01-27,Hyderabad,HolidaySale,1091,84,244,69.81
2025-01-13,Delhi,BrandAwareness,1064,52,129,26.67
2025-01-04,Bangalore,CoffeePush,2259,63,243,9.47
2025-01-12,Delhi,HolidaySale,1117,131,208,11.89
2025-01-07,Delhi,HolidaySale,2082,213,54,32.97
2025-01-02,Chennai,CoffeePush,5580,824,375,17.68
2025-01-19,Hyderabad,BrandAwareness,3144,194,185,44.5
2025-01-23,Bangalore,CoffeePush,4044,428,448,57.12
2025-01-02,Delhi,CoffeePush,5087,512,160,54.06
2025-01-09,Delhi,BrandAwareness,2238,72,28,77.47
2025-01-17,Chennai,CoffeePush,2628,259,223,22.63
2025-01-26,Bangalore,HolidaySale,3180,227,44,28.03
2025-01-15,Mumbai,CoffeePush,1130,42,343,11.09
2025-01-02,Delhi,BrandAwareness,1838,69,482,46.01
2025-01-23,Hyderabad,CoffeePush,4702,347,25,79.99
2025-01-23,Bangalore,CoffeePush,5255,670,343,49.78
2025-01-09,Bangalore,BrandAwareness,3196,63,473,14.52
2025-01-16,Mumbai,HolidaySale,3191,268,454,42.0
2025-01-18,Bangalore,CoffeePush,2954,306,496,9.65
2025-01-25,Chennai,HolidaySale,5750,349,248,25.85
2025-01-22,Bangalore,BrandAwareness,3696,147,111,71.77
2025-01-29,Hyderabad,CoffeePush,680,25,72,8.65
2025-01-17,Delhi,BrandAwareness,539,51,185,47.23
2025-01-26,Chennai,CoffeePush,2921,132,242,42.86
2025-01-19,Chennai,HolidaySale,1595,48,150,42.7
2025-01-26,Chennai,CoffeePush,2138,320,244,74.5
2025-01-17,Delhi,CoffeePush,643,70,305,31.2
2025-01-13,Mumbai,BrandAwareness,5490,579,199,71.34
2025-01-11,Delhi,CoffeePush,1710,97,287,77.7
2025-01-26,Bangalore,CoffeePush,1795,240,347,27.16
2025-01-24,Bangalore,CoffeePush,5343,669,133,69.93
2025-01-28,Mumbai,HolidaySale,2446,211,313,19.4
2025-01-26,Chennai,CoffeePush,1275,109,456,44.64
2025-01-09,Bangalore,CoffeePush,1671,20,399,6.59
2025-01-21,Delhi,BrandAwareness,4955,647,225,28.31
2025-01-26,Mumbai,HolidaySale,3706,82,428,41.27
2025-01-02,Chennai,CoffeePush,2112,241,134,13.97
2025-01-10,Delhi,HolidaySale,5759,336,380,21.6
2025-01-26,Delhi,BrandAwareness,2813,375,464,6.33
2025-01-08,Bangalore,HolidaySale,2219,193,176,37.24
2025-01-07,Delhi,CoffeePush,2547,277,85,14.12
2025-01-17,Delhi,BrandAwareness,3736,132,492,7.63
2025-01-18,Chennai,BrandAwareness,5989,491,396,66.93
2025-01-25,Chennai,BrandAwareness,4585,125,398,38.92
2025-01-07,Mumbai,BrandAwareness,2235,125,417,29.95
2025-01-09,Hyderabad,CoffeePush,5305,246,261,53.6
2025-01-13,Bangalore,BrandAwareness,3285,158,435,37.62
2025-01-12,Mumbai,BrandAwareness,5610,355,363,28.71
2025-01-08,Mumbai,CoffeePush,4254,206,203,54.29
2025-01-27,Mumbai,BrandAwareness,1653,240,166,35.9
2025-01-16,Delhi,CoffeePush,2373,232,332,16.41
2025-01-16,Bangalore,CoffeePush,3478,121,333,68.68
2025-01-15,Delhi,CoffeePush,4373,122,110,44.95
2025-01-12,Chennai,HolidaySale,1043,80,251,33.71
2025-01-08,Chennai,CoffeePush,5114,222,129,18.43
2025-01-30,Delhi,CoffeePush,956,91,346,12.27
2025-01-26,Bangalore,CoffeePush,2271,267,91,74.77
2025-01-26,Mumbai,CoffeePush,4482,606,89,74.24
2025-01-09,Bangalore,BrandAwareness,1660,224,499,10.25
2025-01-14,Bangalore,HolidaySale,2530,279,297,19.66
2025-01-12,Mumbai,BrandAwareness,1926,21,374,33.07
2025-01-12,Mumbai,BrandAwareness,3527,272,283,74.4
2025-01-08,Chennai,BrandAwareness,3136,54,111,54.96
2025-01-06,Mumbai,CoffeePush,1479,172,27,51.25
2025-01-08,Chennai,BrandAwareness,2042,297,76,64.3
2025-01-15,Delhi,HolidaySale,1857,127,112,13.73
2025-01-11,Bangalore,HolidaySale,3458,91,190,18.34
2025-01-07,Mumbai,HolidaySale,4154,504,341,44.5
2025-01-21,Hyderabad,BrandAwareness,1858,183,163,25.06
2025-01-26,Delhi,CoffeePush,2121,185,388,66.99
2025-01-06,Chennai,CoffeePush,4532,566,100,59.92
2025-01-16,Bangalore,BrandAwareness,1654,43,76,14.72
2025-01-14,Chennai,CoffeePush,5668,607,133,7.83
2025-01-08,Mumbai,CoffeePush,4240,333,470,70.03
2025-01-24,Chennai,BrandAwareness,1217,88,86,78.97
2025-01-26,Hyderabad,CoffeePush,4442,100,170,17.1
2025-01-16,Bangalore,BrandAwareness,724,63,167,49.5
2025-01-14,Delhi,HolidaySale,2637,369,350,68.78
2025-01-05,Delhi,HolidaySale,5471,697,53,65.96
2025-01-29,Bangalore,CoffeePush,4591,556,340,55.19
2025-01-17,Mumbai,HolidaySale,1157,138,116,72.31
2025-01-20,Hyderabad,CoffeePush,2880,373,57,73.58
2025-01-27,Hyderabad,CoffeePush,3722,204,475,17.72
2025-01-22,Bangalore,CoffeePush,2844,324,466,19.25
2025-01-08,Delhi,BrandAwareness,5563,61,21,43.8
2025-01-04,Delhi,BrandAwareness,5016,724,215,63.73
2025-01-28,Hyderabad,BrandAwareness,3340,208,78,74.31
2025-01-04,Bangalore,BrandAwareness,4937,83,479,34.88
2025-01-13,Mumbai,HolidaySale,1186,55,377,10.05
2025-01-11,Mumbai,BrandAwareness,2360,184,112,56.07
2025-01-04,Hyderabad,BrandAwareness,1143,152,28,13.43
2025-01-26,Delhi,CoffeePush,2602,360,163,42.3
2025-01-04,Delhi,HolidaySale,2950,169,382,46.93
2025-01-07,Delhi,BrandAwareness,3902,108,410,50.81
2025-01-30,Hyderabad,CoffeePush,1235,118,130,49.71
2025-01-08,Chennai,BrandAwareness,3046,191,419,9.82
2025-01-14,Hyderabad,BrandAwareness,5746,837,220,63.74
2025-01-16,Hyderabad,BrandAwareness,5743,598,456,19.67
2025-01-07,Hyderabad,BrandAwareness,2113,311,291,32.25
2025-01-01,Bangalore,BrandAwareness,2032,246,338,28.48
2025-01-26,Delhi,BrandAwareness,1460,71,93,45.32
2025-01-28,Mumbai,HolidaySale,839,103,442,61.63
2025-01-18,Hyderabad,BrandAwareness,2765,210,439,35.13
2025-01-26,Mumbai,BrandAwareness,657,58,289,18.78
2025-01-04,Mumbai,BrandAwareness,4042,176,229,37.64
2025-01-05,Chennai,CoffeePush,2177,205,353,68.95
2025-01-14,Bangalore,CoffeePush,2809,256,163,14.83
2025-01-20,Hyderabad,BrandAwareness,3492,129,398,35.99
2025-01-17,Chennai,BrandAwareness,3157,22,487,79.6
2025-01-06,Delhi,CoffeePush,3583,535,179,27.93
2025-01-12,Hyderabad,HolidaySale,5433,304,453,77.03
2025-01-28,Hyderabad,CoffeePush,5643,129,261,25.76
2025-01-06,Mumbai,BrandAwareness,1948,268,406,6.2
2025-01-08,Chennai,CoffeePush,5187,313,70,21.04
2025-01-17,Hyderabad,HolidaySale,4494,258,309,51.46
2025-01-22,Delhi,HolidaySale,2216,280,311,63.53
2025-01-05,Bangalore,CoffeePush,930,64,461,6.07
2025-01-23,Bangalore,CoffeePush,5987,777,469,58.55
2025-01-17,Chennai,CoffeePush,5482,596,49,32.18
2025-01-03,Mumbai,HolidaySale,3403,118,24,50.96
2025-01-05,Mumbai,CoffeePush,1793,31,190,20.62
2025-01-30,Mumbai,BrandAwareness,5763,424,323,53.37
2025-01-11,Bangalore,HolidaySale,719,105,25,54.09
2025-01-20,Mumbai,HolidaySale,2230,69,133,29.41
2025-01-01,Mumbai,CoffeePush,836,107,398,27.53
2025-01-28,Chennai,CoffeePush,521,50,25,8.07
2025-01-01,Delhi,BrandAwareness,2264,89,457,57.86
2025-01-14,Delhi,CoffeePush,4430,64,118,77.36
2025-01-29,Bangalore,BrandAwareness,5480,804,232,60.69
2025-01-10,Delhi,BrandAwareness,4720,102,41,62.6
2025-01-17,Mumbai,HolidaySale,2746,44,413,14.35
2025-01-28,Chennai,HolidaySale,1160,21,388,60.82
2025-01-16,Hyderabad,BrandAwareness,2099,50,180,50.62
2025-01-17,Delhi,CoffeePush,3308,149,29,45.34
2025-01-14,Delhi,HolidaySale,953,92,340,59.27
2025-01-12,Mumbai,BrandAwareness,3988,233,148,6.83
2025-01-04,Bangalore,HolidaySale,3153,152,64,59.51
2025-01-15,Bangalore,CoffeePush,4430,68,106,35.34
2025-01-13,Mumbai,BrandAwareness,4587,47,104,34.02
2025-01-02,Chennai,CoffeePush,2817,127,311,69.46
2025-01-14,Bangalore,HolidaySale,5701,255,223,53.75
2025-01-09,Chennai,HolidaySale,4170,379,429,5.27
2025-01-27,Chennai,BrandAwareness,5976,170,239,64.38
2025-01-23,Delhi,BrandAwareness,4750,68,212,10.69
2025-01-08,Delhi,HolidaySale,4666,637,234,10.15
2025-01-17,Bangalore,BrandAwareness,3593,103,161,72.92
2025-01-03,Chennai,HolidaySale,4462,25,369,44.54
2025-01-20,Hyderabad,CoffeePush,5830,126,268,35.01
2025-01-06,Mumbai,CoffeePush,2714,276,439,7.91
2025-01-22,Hyderabad,CoffeePush,5063,149,30,70.96
2025-01-24,Chennai,CoffeePush,2913,13,265,44.6
2025-01-11,Bangalore,HolidaySale,4787,332,260,56.47
2025-01-25,Mumbai,BrandAwareness,5289,103,373,62.23
2025-01-21,Bangalore,HolidaySale,5901,280,368,14.27
2025-01-18,Chennai,HolidaySale,3733,402,407,32.66
2025-01-03,Hyderabad,CoffeePush,1680,42,500,15.97
2025-01-20,Bangalore,BrandAwareness,4245,168,32,78.24
2025-01-22,Mumbai,CoffeePush,4335,297,20,7.16
2025-01-23,Delhi,CoffeePush,3873,48,403,55.55
2025-01-10,Hyderabad,HolidaySale,3303,208,310,34.02
2025-01-09,Bangalore,CoffeePush,2536,79,131,53.85
2025-01-17,Chennai,CoffeePush,3975,551,498,15.58
2025-01-04,Bangalore,BrandAwareness,5274,538,66,17.25
2025-01-30,Delhi,CoffeePush,2707,207,481,22.27
2025-01-15,Chennai,CoffeePush,1397,109,110,29.42
2025-01-12,Mumbai,CoffeePush,2785,116,245,41.91
2025-01-03,Hyderabad,BrandAwareness,517,63,85,51.78
2025-01-17,Bangalore,BrandAwareness,1984,114,194,7.77
2025-01-17,Hyderabad,HolidaySale,5839,430,312,27.06
2025-01-16,Bangalore,HolidaySale,4022,171,146,39.21
